Month/ year,Timestamp,Location,PM2.5,PM10,NO2,NH3,SO2,CO,O3,AQI,,
,08/08/2020,Lucknow - Lalbagh,72.93,105.05,6.19,11.47,4.77,1.1,35.58,142.00 ,,
,09/08/2020,Lucknow - Lalbagh,58.98,98.54,4.81,13.26,5.87,1.1,31.53,99.00 ,,
,10/08/2020,Lucknow - Lalbagh,61.07,100.96,4.26,26.76,5.4,1.98,35.4,101.00 ,,
,11/08/2020,Lucknow - Lalbagh,46.28,102.68,6.42,32.28,5.87,0.75,41.36,102.00 ,,
,12/08/2020,Lucknow - Lalbagh,29.43,85.49,18.23,30.11,4.94,0.75,46.05,85.00 ,,
,13/08/2020,Lucknow - Lalbagh,14.42,46.1,13.49,37.44,6.81,0.74,42.26,46.00 ,,
,14/08/2020,Lucknow - Lalbagh,30.38,62.05,14.38,35.32,8.06,0.69,40.37,62.00 ,,
,15/08/2020,Lucknow - Lalbagh,26.73,60.37,18.67,37.85,9.22,0.54,45.36,60.00 ,,
,16/08/2020,Lucknow - Lalbagh,16.86,53.76,12.42,39.63,7.02,0.54,46.16,54.00 ,,
,17/08/2020,Lucknow - Lalbagh,19.09,56.34,13.46,76.16,6.99,0.54,46.85,56.00 ,,
,18/08/2020,Lucknow - Lalbagh,29.91,67.4,16.14,35.83,7.37,0.54,47.47,67.00 ,,
,19/08/2020,Lucknow - Lalbagh,25.06,77.71,36.98,33.31,5.51,0.54,44.87,78.00 ,,
,20/08/2020,Lucknow - Lalbagh,21.67,78.76,26.75,18.06,6.3,0.54,41.69,79.00 ,,
,21/08/2020,Lucknow - Lalbagh,15.94,48.68,21.77,19.7,5.83,0.54,45.73,49.00 ,,
,22/08/2020,Lucknow - Lalbagh,25.03,56.21,15.81,21.29,5.97,0.54,44.7,56.00 ,,
,23/08/2020,Lucknow - Lalbagh,21.59,56.32,15.86,20.96,5.14,0.54,32.39,56.00 ,,
,24/08/2020,Lucknow - Lalbagh,24.73,54.98,16.32,15.34,5.68,0.54,41.86,55.00 ,,
,25/08/2020,Lucknow - Lalbagh,32.97,85.77,23.63,14.85,5.02,0.64,33.16,86.00 ,,
,26/08/2020,Lucknow - Lalbagh,23.16,80.55,26.33,22.17,4.36,0.79,38.72,81.00 ,,
,27/08/2020,Lucknow - Lalbagh,34.57,57.22,18.73,37.99,3.02,0.55,40.73,57.00 ,,
,28/08/2020,Lucknow - Lalbagh,41.43,63.25,14.29,36.59,2.78,0.58,48.51,69.00 ,,
,29/08/2020,Lucknow - Lalbagh,45.75,72.13,9.29,35.14,2.74,0.54,46.31,76.00 ,,
,30/08/2020,Lucknow - Lalbagh,33.66,55.24,9.2,34.94,2.9,0.54,47.04,55.00 ,,
,31/08/2020,Lucknow - Lalbagh,50.47,88.47,8.98,35.25,2.71,0.54,47.84,88.00 ,,
Sep/20,01/09/2020,Lucknow - Lalbagh,54.81,105.6,30.57,34.49,3.21,0.54,46.47,104.00 ,,
,02/09/2020,Lucknow - Lalbagh,48.69,91.75,39.68,35,2.98,0.54,50.08,92.00 ,,
,03/09/2020,Lucknow - Lalbagh,62.76,77.95,38.23,36.31,2.66,0.54,43.72,107.00 ,,
,04/09/2020,Lucknow - Lalbagh,47.25,94.01,43.16,35.35,2.88,0.54,43.71,94.00 ,,
,05/09/2020,Lucknow - Lalbagh,76.89,101.56,43.29,35.33,3.08,0.68,46.8,155.00 ,,
,06/09/2020,Lucknow - Lalbagh,55.11,86.5,29.7,35.38,2.65,0.79,48.33,92.00 ,,
,07/09/2020,Lucknow - Lalbagh,58.88,89.56,39.69,34.9,3.43,0.77,46.91,98.00 ,,
,08/09/2020,Lucknow - Lalbagh,63.89,107.1,51.7,34.91,3.15,0.79,41.04,111.00 ,,
,09/09/2020,Lucknow - Lalbagh,68.02,100.8,40.31,34.74,3.12,0.78,41.18,125.00 ,,
,10/09/2020,Lucknow - Lalbagh,71.8,96.92,40.95,35.3,2.72,0.81,46.26,138.00 ,,
,11/09/2020,Lucknow - Lalbagh,92.45,112.03,38.63,34.39,3.23,0.78,42.76,206.00 ,,
,12/09/2020,Lucknow - Lalbagh,38.43,77.13,33.07,34.8,3.01,0.78,44.72,77.00 ,,
,13/09/2020,Lucknow - Lalbagh,45.01,84.44,38.11,34.81,3.01,0.77,53.89,84.00 ,,
,14/09/2020,Lucknow - Lalbagh,61.21,101.18,36.69,34.59,2.79,0.78,44.14,102.00 ,,
,15/09/2020,Lucknow - Lalbagh,114.86,129.55,43.65,34.38,3.05,0.78,45.15,282.00 ,,
,16/09/2020,Lucknow - Lalbagh,84.86,115.44,39.3,34.63,2.79,0.78,39.98,182.00 ,,
,17/09/2020,Lucknow - Lalbagh,104.13,169.84,50.84,29.28,2.83,0.78,49.83,246.00 ,,
,18/09/2020,Lucknow - Lalbagh,101.54,134.58,34.33,25.17,2.9,0.78,63.18,237.00 ,,
,19/09/2020,Lucknow - Lalbagh,80.16,97.86,30.89,24.39,3.07,0.78,38.35,166.00 ,,
,20/09/2020,Lucknow - Lalbagh,55.75,75.06,34.63,25.52,2.79,0.78,40.68,93.00 ,,
,21/09/2020,Lucknow - Lalbagh,62.41,108.96,38.57,24.67,2.42,0.78,33.85,106.00 ,,
,22/09/2020,Lucknow - Lalbagh,25.95,71.35,28.59,24.71,3.01,0.78,44.61,71.00 ,,
,23/09/2020,Lucknow - Lalbagh,16.27,84.11,32,24.56,3.13,0.78,38.47,84.00 ,,
,24/09/2020,Lucknow - Lalbagh,8.13,162.09,32.75,25.26,2.75,0.72,46.87,142.00 ,,
,25/09/2020,Lucknow - Lalbagh,40.98,87.69,42.29,24.63,3.32,0.78,47.69,88.00 ,,
,26/09/2020,Lucknow - Lalbagh,94.93,156.8,56.39,24.64,3.3,0.78,49.32,214.00 ,,
,27/09/2020,Lucknow - Lalbagh,130.13,188.14,51.82,24.64,2.93,0.75,57.83,308.00 ,,
,28/09/2020,Lucknow - Lalbagh,140.04,193.73,68.88,25.55,2.81,0.79,42.29,316.00 ,,
,29/09/2020,Lucknow - Lalbagh,127.82,210.7,47.23,24.93,3.21,0.78,24.32,306.00 ,,
,30/09/2020,Lucknow - Lalbagh,139.66,217.97,35.67,25.11,2.95,0.78,23.41,315.00 ,,
Oct/20,01/10/2020,Lucknow - Lalbagh,111.2,204.9,15.86,24.67,2.71,0.54,23,270.00 ,,
,20/10/2020,Lucknow - Lalbagh,151.37,165.93,62.05,34.95,3.09,1.21,60.59,324.00 ,,
,21/10/2020,Lucknow - Lalbagh,156.66,185.88,77.13,35.05,4.84,1.06,49.16,328.00 ,,
,22/10/2020,Lucknow - Lalbagh,136.37,199,60.48,35.48,2.69,0.88,47.68,313.00 ,,
,23/10/2020,Lucknow - Lalbagh,200.01,236.22,83.03,35.26,2.52,0.88,27.72,362.00 ,,
,24/10/2020,Lucknow - Lalbagh,153.26,347.33,85.46,36.87,2.66,0.89,40.6,326.00 ,,
,25/10/2020,Lucknow - Lalbagh,191.99,463.18,34.81,34.97,4.22,0.87,51.32,447.00 ,,
,26/10/2020,Lucknow - Lalbagh,216.23,399.53,46.02,36.09,3.88,0.88,47.05,374.00 ,,
,27/10/2020,Lucknow - Lalbagh,199.18,364.81,37.64,33.6,4.04,0.89,38.78,361.00 ,,
,28/10/2020,Lucknow - Lalbagh,172.48,334.47,47.76,33.42,4.17,0.89,36.55,341.00 ,,
,29/10/2020,Lucknow - Lalbagh,166.47,369.78,60.19,33.86,3.89,0.9,21.53,336.00 ,,
,30/10/2020,Lucknow - Lalbagh,119.52,324.62,64.07,33.37,4.35,0.86,30.42,298.00 ,,
,31/10/2020,Lucknow - Lalbagh,131.67,341.03,64.39,33.85,3.35,0.89,31.68,309.00 ,,
Nov/20,01/11/2020,Lucknow - Lalbagh,210.42,453.01,54.9,33.62,2.75,0.89,47.27,433.00 ,,
,02/11/2020,Lucknow - Lalbagh,217.51,441.06,71.19,33.45,2.82,0.86,44.84,415.00 ,,
,03/11/2020,Lucknow - Lalbagh,223.78,414.88,80.5,33.47,5.86,0.89,77.31,381.00 ,,
,04/11/2020,Lucknow - Lalbagh,183.53,399.56,90.63,33.61,8.89,0.88,43.1,362.00 ,,
,05/11/2020,Lucknow - Lalbagh,267.99,595.21,81.39,38.08,1.09,1.23,55.02,418.00 ,,
,06/11/2020,Lucknow - Lalbagh,313,669.77,83.65,38.39,2.68,1.82,55.17,463.00 ,,
,07/11/2020,Lucknow - Lalbagh,230.5,475.65,75.09,38.44,3.4,1.81,37.8,465.00 ,,
,08/11/2020,Lucknow - Lalbagh,255.29,470.48,57.94,38.45,7.41,1.81,50.79,458.00 ,,
,09/11/2020,Lucknow - Lalbagh,248.46,478.9,72.27,38.39,8.26,1.82,53.01,470.00 ,,
,10/11/2020,Lucknow - Lalbagh,192.88,401.57,48.77,38.45,8.26,1.81,27.34,364.00 ,,
,11/11/2020,Lucknow - Lalbagh,151.53,358.67,52.18,38.44,5.38,1.8,49.63,324.00 ,,
,12/11/2020,Lucknow - Lalbagh,147.51,299.18,50.83,38.53,7.14,1.81,66.71,321.00 ,,
,13/11/2020,Lucknow - Lalbagh,173.46,359.73,55.15,38.46,7.44,2.09,46.43,341.00 ,,
,14/11/2020,Lucknow - Lalbagh,194.67,316.07,42.37,44.8,10.68,3.28,40.39,358.00 ,,
,15/11/2020,Lucknow - Lalbagh,388.83,451.78,56.28,45.14,22.66,1.17,51.65,431.00 ,,
,16/11/2020,Lucknow - Lalbagh,86.94,172.89,23.1,44.97,35.29,0.5,53.7,190.00 ,,
,17/11/2020,Lucknow - Lalbagh,76.91,151.85,27.87,44.05,29.62,0.71,41.86,155.00 ,,
,18/11/2020,Lucknow - Lalbagh,94.07,140.72,38.85,45.28,4.87,0.73,31.52,211.00 ,,
,19/11/2020,Lucknow - Lalbagh,122.37,171.37,40.81,44.89,6.69,0.61,25.46,302.00 ,,
,20/11/2020,Lucknow - Lalbagh,118.36,170.16,38.46,44.99,5.75,0.52,71.08,294.00 ,,
,21/11/2020,Lucknow - Lalbagh,126.51,194.55,52.54,44.86,8.56,0.65,71.71,305.00 ,,
,22/11/2020,Lucknow - Lalbagh,120.82,189.91,64.36,45.31,5.85,0.52,60.79,160.00 ,,
,23/11/2020,Lucknow - Lalbagh,226.47,317.61,79.55,44.85,6.83,1.61,57.41,382.00 ,,
,24/11/2020,Lucknow - Lalbagh,216.8,297.13,71.18,44.87,5.78,1.02,35.59,375.00 ,,
,25/11/2020,Lucknow - Lalbagh,233.49,295.95,94.18,44.93,3.19,0.72,23.44,387.00 ,,
,26/11/2020,Lucknow - Lalbagh,236.76,305.94,109.34,44.85,3.74,1.17,27.64,390.00 ,,
,27/11/2020,Lucknow - Lalbagh,174.99,273.81,85.56,45.08,8.34,1.42,28.47,342.00 ,,
,28/11/2020,Lucknow - Lalbagh,134.52,216.1,88.76,44.82,9.82,0.89,32.59,311.00 ,,
,29/11/2020,Lucknow - Lalbagh,147.88,184.71,91.08,45.69,8.03,0.76,34.76,322.00 ,,
,30/11/2020,Lucknow - Lalbagh,158.68,280.47,104.21,43.48,8.89,0.82,35.63,330.00 ,,
Dec/20,01/12/2020,Lucknow - Lalbagh,214.22,411.78,103.01,43.9,6.12,2.03,32.4,377.00 ,,
,02/12/2020,Lucknow - Lalbagh,292.31,482.87,110,47.22,5.88,1.74,34.34,475.00 ,,
,03/12/2020,Lucknow - Lalbagh,303.5,426.68,97.45,45.37,6.63,1.8,28.08,454.00 ,,
,04/12/2020,Lucknow - Lalbagh,304,428.13,119.43,45.63,6.2,2.37,32.23,454.00 ,,
,05/12/2020,Lucknow - Lalbagh,297.91,416.87,98.26,40.44,8.75,1.88,30.09,448.00 ,,
,06/12/2020,Lucknow - Lalbagh,224.99,323.3,103.17,66.68,3.49,2.5,32.92,381.00 ,,
,07/12/2020,Lucknow - Lalbagh,280.04,379.75,95.77,45.04,3.83,1.43,35.53,430.00 ,,
,08/12/2020,Lucknow - Lalbagh,269.99,385.93,103.56,44.88,4.25,0.95,34.77,420.00 ,,
,09/12/2020,Lucknow - Lalbagh,251.52,403.14,83.47,38.25,4.54,1.03,33.64,402.00 ,,
,10/12/2020,Lucknow - Lalbagh,157.5,236.75,63.46,62.46,7.18,1.58,34.24,329.00 ,,
,11/12/2020,Lucknow - Lalbagh,161.15,230.2,49.83,60.7,5.33,0.93,34.18,332.00 ,,
,12/12/2020,Lucknow - Lalbagh,172.71,252.2,58.03,56.75,6.27,1.94,34.24,341.00 ,,
,13/12/2020,Lucknow - Lalbagh,109.65,171.78,41.97,49.01,6.45,1.93,34.01,265.00 ,,
,14/12/2020,Lucknow - Lalbagh,113.31,177.66,46.97,38.91,6.67,1.63,35.77,277.00 ,,
,15/12/2020,Lucknow - Lalbagh,152.44,259.47,67.81,36.47,7.39,1.24,31.03,325.00 ,,
,16/12/2020,Lucknow - Lalbagh,135.54,233.29,69.88,55.66,5.79,1.68,30.84,312.00 ,,
,17/12/2020,Lucknow - Lalbagh,97.16,192.64,81.77,36.69,8.66,0.73,32.58,222.00 ,,
,18/12/2020,Lucknow - Lalbagh,147.26,246.18,91.46,39.76,5,0.87,30.36,321.00 ,,
,19/12/2020,Lucknow - Lalbagh,231.63,326.03,90.75,44.27,2.33,0.89,26.7,386.00 ,,
,20/12/2020,Lucknow - Lalbagh,272.84,378.89,87.75,42.83,2.95,1.28,24.58,423.00 ,,
,21/12/2020,Lucknow - Lalbagh,291.35,358.76,93.1,32.68,4.95,1.78,23.11,441.00 ,,
,22/12/2020,Lucknow - Lalbagh,325.8,470.95,93.4,42.35,3.6,1.53,17.39,476.00 ,,
,23/12/2020,Lucknow - Lalbagh,305.79,480.2,106.39,58.48,8.52,2.67,22.8,472.00 ,,
,24/12/2020,Lucknow - Lalbagh,344.49,501.31,97.43,65.42,7.37,1.39,24.81,494.00 ,,
,25/12/2020,Lucknow - Lalbagh,178.54,284.92,92.25,65.18,11.79,1.8,25.92,345.00 ,,
,26/12/2020,Lucknow - Lalbagh,167.72,266.47,96.79,53.49,12.44,2.25,29.55,337.00 ,,
,27/12/2020,Lucknow - Lalbagh,238.93,370.68,114.96,53.27,8.73,2.01,27.39,392.00 ,,
,28/12/2020,Lucknow - Lalbagh,208.37,314.2,108.67,66.56,9.8,1.61,28.26,368.00 ,,
,29/12/2020,Lucknow - Lalbagh,179.79,286.46,88.88,62.97,13.26,2.17,24.72,346.00 ,,
,30/12/2020,Lucknow - Lalbagh,149.52,290.99,108.95,54.02,10.66,1.26,31.09,323.00 ,,
,31/12/2020,Lucknow - Lalbagh,177.24,263.52,106.37,48.09,7.24,1.04,34.36,344.00 ,,15
Jan/21,01/01/2021,Lucknow - Lalbagh,265.2,378.7,116.17,44.02,6.31,0.84,33.23,415.00 ,,
,02/01/2021,Lucknow - Lalbagh,355.91,417.95,99.72,54.35,7.29,0.23,23.43,385.00 ,,
,03/01/2021,Lucknow - Lalbagh,318.65,448.53,79.47,85.84,4.4,2.27,18.22,469.00 ,,
,04/01/2021,Lucknow - Lalbagh,251.98,434.89,72.74,109.82,4.03,2.18,19.45,407.00 ,,
,05/01/2021,Lucknow - Lalbagh,240.45,411.3,71.88,107.01,5.06,1.63,25.96,393.00 ,,
,06/01/2021,Lucknow - Lalbagh,186.78,343.94,55.86,115.12,4.08,1.46,19.16,351.00 ,,
,07/01/2021,Lucknow - Lalbagh,92.42,190.09,31.7,95.39,8.15,1.1,28.57,206.00 ,,
,08/01/2021,Lucknow - Lalbagh,118.02,208.5,28.67,81.78,6.96,3.59,33.97,293.00 ,,
,09/01/2021,Lucknow - Lalbagh,136.09,255.1,38.87,67.45,9.6,3.25,38.23,313.00 ,,
,10/01/2021,Lucknow - Lalbagh,118.42,229.3,25.98,75.28,7.88,2.37,42.29,295.00 ,,
,11/01/2021,Lucknow - Lalbagh,109.37,202.35,32.95,58.65,7.23,1.59,39.86,264.00 ,,
,12/01/2021,Lucknow - Lalbagh,150.01,257.95,37.32,52.67,5.21,1.34,39.61,323.00 ,,
,13/01/2021,Lucknow - Lalbagh,183.32,326.08,47.04,54.02,5.07,1.24,38.61,349.00 ,,
,14/01/2021,Lucknow - Lalbagh,183.8,305.38,38.75,57.93,4.1,1.05,35.01,349.00 ,,
,15/01/2021,Lucknow - Lalbagh,237.48,384.58,53.07,72.06,3.29,1.43,39.17,390.00 ,,
,16/01/2021,Lucknow - Lalbagh,190.96,330.41,59.8,75.19,5.95,1.28,37.61,355.00 ,,
,17/01/2021,Lucknow - Lalbagh,190.3,318.29,30.48,68.45,8.45,1.49,34.74,354.00 ,,
,18/01/2021,Lucknow - Lalbagh,255.79,423.04,49.19,65.03,5.6,1.46,33.27,406.00 ,,
,19/01/2021,Lucknow - Lalbagh,276.55,475.65,51.27,75.55,4.79,1.1,33.77,465.00 ,,
,20/01/2021,Lucknow - Lalbagh,163.75,265.7,43.64,34.14,9.03,1.11,34.37,334.00 ,,
,21/01/2021,Lucknow - Lalbagh,128.74,201.44,37.55,28.6,10.34,1.13,34.8,307.00 ,,
,22/01/2021,Lucknow - Lalbagh,155.59,235.21,36.26,55.34,9.33,0.99,36.09,328.00 ,,
,23/01/2021,Lucknow - Lalbagh,152.87,199.08,34.11,42.07,10.17,1.51,30.1,325.00 ,,
,24/01/2021,Lucknow - Lalbagh,166.04,234.05,41.64,54.13,9.47,0.92,30.73,336.00 ,,
,25/01/2021,Lucknow - Lalbagh,172.25,221.14,35.15,44.44,9.95,1.57,26.64,340.00 ,,
,26/01/2021,Lucknow - Lalbagh,146.06,200.12,39.76,45.2,11.99,1.45,25.46,320.00 ,,
,27/01/2021,Lucknow - Lalbagh,205.36,308.36,57.57,38.84,8.85,1.14,26.68,366.00 ,,
,28/01/2021,Lucknow - Lalbagh,221.4,357.51,55.56,53.49,9.17,2.85,27.56,378.00 ,,
,29/01/2021,Lucknow - Lalbagh,139.43,199.66,35.01,47.6,10.73,3.68,24.99,315.00 ,,
,30/01/2021,Lucknow - Lalbagh,178.67,264.83,51.44,47.65,10.96,3.79,14.27,345.00 ,,
,31/01/2021,Lucknow - Lalbagh,258.79,353.35,64.22,47.13,8.67,2.19,7.75,409.00 ,,
Feb/21,01/02/2021,Lucknow - Lalbagh,200.36,328.19,70.86,61.27,14.31,4.23,11.57,362.00 ,,
,02/02/2021,Lucknow - Lalbagh,218.33,340.94,78.07,60.39,8.78,1.76,7.49,376.00 ,,
,03/02/2021,Lucknow - Lalbagh,164.42,241.37,67.95,63.25,7.48,2.77,8.7,334.00 ,,
,04/02/2021,Lucknow - Lalbagh,145.2,239.48,64.09,70.15,7.61,0.95,13.05,320.00 ,,
,05/02/2021,Lucknow - Lalbagh,101.67,150,49.57,101.53,9.57,1.83,21.61,237.00 ,,
,06/02/2021,Lucknow - Lalbagh,83.71,146.36,46.9,74.93,7.86,1.75,22.86,179.00 ,,
,07/02/2021,Lucknow - Lalbagh,97.76,167.1,51.39,62.76,6.87,1.56,23.49,224.00 ,,
,08/02/2021,Lucknow - Lalbagh,137.16,165.91,50.79,64.11,1.17,1.78,22.12,313.00 ,,
,09/02/2021,Lucknow - Lalbagh,149.85,280.5,79.01,76.17,11.96,1.83,24.45,323.00 ,,
,10/02/2021,Lucknow - Lalbagh,193.06,316.08,84.74,87.75,5.53,1.38,27.19,356.00 ,,
,11/02/2021,Lucknow - Lalbagh,174.35,287.53,81.13,84.12,5.76,1.76,18.52,342.00 ,,
,12/02/2021,Lucknow - Lalbagh,160.69,259.23,84.18,80.24,6.49,1.68,26.8,331.00 ,,
,13/02/2021,Lucknow - Lalbagh,160.16,280.75,90.1,76.72,5.08,2,25.2,331.00 ,,
,14/02/2021,Lucknow - Lalbagh,202.92,314.42,86.73,75.73,6.15,1.77,32.17,364.00 ,,
,15/02/2021,Lucknow - Lalbagh,151.77,243.71,112.23,75.89,5.77,1.9,30.1,325.00 ,,
,16/02/2021,Lucknow - Lalbagh,156.79,268.44,117.75,71.35,5.57,1.72,32.51,328.00 ,,
,17/02/2021,Lucknow - Lalbagh,103.39,214.11,91.38,73.26,6.09,1.54,29.66,243.00 ,,
,18/02/2021,Lucknow - Lalbagh,135.27,236.12,104.3,83.26,7.39,1.3,34.39,312.00 ,,
,19/02/2021,Lucknow - Lalbagh,145.98,252.98,96.28,77.83,10.51,2.41,52.55,320.00 ,,
,20/02/2021,Lucknow - Lalbagh,149.12,244.19,102.04,81.94,10.13,2.24,53.06,323.00 ,,
,21/02/2021,Lucknow - Lalbagh,118.6,209.12,73.65,72.16,8.35,1.67,50.97,295.00 ,,
,22/02/2021,Lucknow - Lalbagh,131.84,216.61,84.25,73.06,9.41,1.66,66.71,309.00 ,,
,23/02/2021,Lucknow - Lalbagh,132.73,227.69,90.37,83.77,9.86,1.86,59.03,310.00 ,,
,24/02/2021,Lucknow - Lalbagh,97.2,211.55,117.17,71.65,9.95,1.37,40.56,222.00 ,,
,25/02/2021,Lucknow - Lalbagh,99.04,203.95,114.47,74.63,8.86,1.06,26.18,228.00 ,,
,26/02/2021,Lucknow - Lalbagh,84.2,216.72,95.51,71.17,10.45,1.37,17.8,180.00 ,,
,27/02/2021,Lucknow - Lalbagh,97.13,206.1,99.62,71.59,13.26,1.25,32.93,222.00 ,,
,28/02/2021,Lucknow - Lalbagh,88.38,170.22,76.66,62.6,13.53,1.35,50.16,194.00 ,,
Mar/21,01/03/2021,Lucknow - Lalbagh,87.72,171.43,88.11,50.98,15.01,1.21,52.14,192.00 ,,
,02/03/2021,Lucknow - Lalbagh,78.45,173.04,72.62,45.58,15.04,0.94,46.18,161.00 ,,
,03/03/2021,Lucknow - Lalbagh,80.37,184.43,97.57,52.52,8.55,1.47,43.1,167.00 ,,
,04/03/2021,Lucknow - Lalbagh,106.04,215.84,166.89,64.74,9.41,0.89,42.29,252.00 ,,
,05/03/2021,Lucknow - Lalbagh,95.97,194.09,196.77,65.83,6.7,1.22,38.01,218.00 ,,
,06/03/2021,Lucknow - Lalbagh,83.41,178.45,71.71,59.41,12.07,1.01,45.02,178.00 ,,
,07/03/2021,Lucknow - Lalbagh,74.38,210.02,81.18,67.47,9.67,1.19,49.98,173.00 ,,
,08/03/2021,Lucknow - Lalbagh,76.75,218.78,42.38,83.65,7.3,1.06,43.23,179.00 ,,
,09/03/2021,Lucknow - Lalbagh,111.12,240.47,34.73,102.73,7.57,1.65,51.92,270.00 ,,
,10/03/2021,Lucknow - Lalbagh,158.57,284.26,38.46,108.12,4.1,1.05,44.48,330.00 ,,
,11/03/2021,Lucknow - Lalbagh,140.16,257.63,34.59,97.52,6.66,1.28,35.38,316.00 ,,
,12/03/2021,Lucknow - Lalbagh,124.83,232.68,43.13,90.65,10.02,0.89,49.24,304.00 ,,
,13/03/2021,Lucknow - Lalbagh,71.94,130.33,46.12,81.42,13.34,1.13,38.93,138.00 ,,
,14/03/2021,Lucknow - Lalbagh,77.7,141.23,39.01,78.03,12.59,1.09,53.97,158.00 ,,
,15/03/2021,Lucknow - Lalbagh,93.86,182.83,44.93,69.38,13.31,0.9,53.96,211.00 ,,
,16/03/2021,Lucknow - Lalbagh,120.03,290.64,38.54,74.64,13.99,1.21,43.6,241.00 ,,
,17/03/2021,Lucknow - Lalbagh,153.16,362.21,49.81,58.26,11.18,1.44,51.89,326.00 ,,
,18/03/2021,Lucknow - Lalbagh,185.22,321.52,63.08,64.34,9.62,1.43,56.01,350.00 ,,
,19/03/2021,Lucknow - Lalbagh,162.22,277.94,40.23,70.04,10.07,2.08,52.16,333.00 ,,
,20/03/2021,Lucknow - Lalbagh,102.62,202.92,27.68,66.6,11.93,1.35,51.67,241.00 ,,
,21/03/2021,Lucknow - Lalbagh,116.29,194.11,26.5,58.78,9.91,1.67,51.75,287.00 ,,
,22/03/2021,Lucknow - Lalbagh,119.77,227.31,20.79,62.01,12.93,1.74,51.62,299.00 ,,
,23/03/2021,Lucknow - Lalbagh,70.59,165.59,14.11,55.71,14.42,1.49,49.78,144.00 ,,
,24/03/2021,Lucknow - Lalbagh,62.12,143.27,13.5,50.57,8.96,1.2,53.81,129.00 ,,
,25/03/2021,Lucknow - Lalbagh,80.25,153.02,16.12,49.18,9.13,1.16,50.81,167.00 ,,
,26/03/2021,Lucknow - Lalbagh,65.74,144.68,19.55,44.85,8.55,1.32,55.4,130.00 ,,
,27/03/2021,Lucknow - Lalbagh,100.77,199.49,24.46,40.62,7.97,1.3,60.28,234.00 ,,
